description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,profileImageUrl
Oficjalne konto Platformy Obywatelskiej na Twitterze.,38651,75564,3717,737,https://t.co/XbKIrWfaoG,PlatformaObywatelska,2009-07-02T07:46:15Z,FALSE,TRUE,Platforma_org,Polska,pl,53003895,423,FALSE,http://pbs.twimg.com/profile_images/532461772465115137/XKz_yYK8_normal.png
"Przedsiƒôbiorca, Radna Sejmiku. Lubiƒô dobry design, konstruktywnƒÖ dyskusjƒô i Lubelskie. Na TT raczej prywatnie.",13865,3321,10792,3101,https://t.co/n5QBjSmoyL,Bo≈ºena Lisowska,2012-12-07T12:37:04Z,FALSE,FALSE,bozenalisowska,Lublin,pl,994964378,26,FALSE,http://pbs.twimg.com/profile_images/641863516413140992/EgU2wIXI_normal.jpg
,797,21,4082,129,https://t.co/iQVEWFyyB9,Hubert Swolkie≈Ñ,2011-08-05T21:09:25Z,FALSE,FALSE,HubertSwolkie,Pno PL,en,349276997,0,FALSE,http://pbs.twimg.com/profile_images/810449278250455040/qJ2Wg51H_normal.jpg
Bez kk i pisu ≈ºyjmy normalnie.Chamstwo i klechy ko≈õcielne nie majƒÖ czego tu szukaƒá.,75848,1268,158805,1107,NA,POLSKA BEZ pis-u,2017-01-02T16:03:57Z,FALSE,FALSE,pis_u,,pl,815951775807262724,15,FALSE,http://pbs.twimg.com/profile_images/874867358149611520/pYFqbh_Y_normal.jpg
,37508,288,19720,155,NA,A. Ì†ΩÌ∞±Ì†ºÌææ,2012-07-31T21:01:33Z,FALSE,FALSE,anna_oni,"Warsaw, Poland",en,729232548,10,FALSE,http://pbs.twimg.com/profile_images/777041894677286912/Xht952_h_normal.jpg
"Emeryt. Odporny na PIS. Fan M i M Bu≈Çhakowa-co widaƒá na fotceÌ†ΩÌ∏É.Czytam, s≈Çucham, oglƒÖdam(W takiej kolejno≈õci), gram w szachy.",17383,1290,25823,2379,NA,W≈Çodzimierz,2016-06-09T07:07:47Z,FALSE,FALSE,Wlodw,,pl,740802554481741825,23,FALSE,http://pbs.twimg.com/profile_images/844547101895856128/lpwTfGrt_normal.jpg
,12290,246,13560,501,NA,wiola1109,2014-10-10T20:12:54Z,FALSE,FALSE,wiola1109,"Frankfurt am Main, Hessen",pl,2821463848,0,FALSE,http://pbs.twimg.com/profile_images/832296845724487680/je7f2n-k_normal.jpg
,8505,109,3346,173,NA,Marek Stƒôpski,2014-07-18T19:40:04Z,FALSE,FALSE,marekstepski,,pl,2657549522,5,FALSE,http://pbs.twimg.com/profile_images/490226155501285376/IJdeouHr_normal.jpeg
,1018,47,20025,120,NA,Krystyna Kiebus,2016-01-27T23:29:31Z,FALSE,FALSE,KKiebus,,pl,4855409854,0,FALSE,http://pbs.twimg.com/profile_images/703288450372521986/ZvEjht9j_normal.jpg
Woman is a nigger of the world,17112,1243,50199,2479,NA,Beata¬Æ ‚òÇÔ∏èÌ†ºÌ∑™Ì†ºÌ∑∫Ì†ºÌ∑µÌ†ºÌ∑±,2013-04-12T19:45:32Z,FALSE,FALSE,bealooa,"Warszawa, Polska",pl,1347606139,25,FALSE,http://pbs.twimg.com/profile_images/878389767553122304/OF3CAQGy_normal.jpg
,69,2,123,35,NA,NiemaTotamTo,2017-02-12T11:51:47Z,FALSE,FALSE,OrliCien,,pl,830746218548559873,0,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Obserwator i uczestnik ≈ºycia. Muzyczny ≈õwir, by≈Çy radiowiec. Kolekcjoner p≈Çyt winylowych. Fan Liverpool FC. Pasjonat psychologii. Polityczny nerwus. Kinomaniak.",5095,2043,12527,1925,NA,Tomasz W≈Çodarczyk,2014-03-21T19:04:36Z,FALSE,FALSE,tomwu74,"Szczecin,PolskaÌ†ºÌ∑µÌ†ºÌ∑±EuropaÌ†ºÌ∑™Ì†ºÌ∑∫",pl,2402009180,2,FALSE,http://pbs.twimg.com/profile_images/895378925316169729/daAXYVU0_normal.jpg
"Piero≈Ñski demokrat, byk, wszo≈Ç≈º, lomp i gizd. WƒÖ≈º w kaplicy. Jestem Polakiem, wiƒôc mam obowiƒÖzki polskie, europejskie i ludzkie.",294565,1983,135790,509,NA,Pawe≈Ç Niezbecki,2009-04-11T12:08:52Z,FALSE,FALSE,szaulo,"Pu≈Çawy, Poland",en,30438042,179,FALSE,http://pbs.twimg.com/profile_images/892341504366268416/9m7X8Px__normal.jpg
NIE MAM POJƒòCIA JAK PIS NAM TO WSZYSTKO ODBUDUJE !!!,40878,6308,40182,267,https://t.co/UqZTSss1W1,",,Polska w ruinie",2015-06-21T10:52:11Z,FALSE,FALSE,Polskawruinie1,Polska,pl,3338740199,45,FALSE,http://pbs.twimg.com/profile_images/880860339818180608/ojcogBtX_normal.jpg
Oficjalne konto Platformy Obywatelskiej regionu opolskiego,4421,739,3897,407,https://t.co/pfLcUjEvNq,PO Opolskie ‚úå,2016-09-09T09:09:23Z,FALSE,FALSE,po_opolskie,"Opolskie, Polska",pl,774172841939914752,7,FALSE,http://pbs.twimg.com/profile_images/796713694268981252/ZKq-hDzG_normal.jpg
"G≈Ços informacji TOK FM, lektorka tv. Samozwa≈Ñcza ambasadorka Bieszczad w Wa-wie i Wa-wy w reszcie ≈õwiata. ≈ªycie, teatr, radio ... wszystko zaczƒô≈Ço siƒô w Sanoku.",470,376,1205,596,NA,Elzbieta Mazur,2013-02-09T22:59:38Z,FALSE,FALSE,ElzbietaMazur,,pl,1164320977,4,FALSE,http://pbs.twimg.com/profile_images/496573208594632705/smDdwE_2_normal.jpeg
,26472,77,69286,310,NA,Witold Glogowski,2017-01-09T16:11:13Z,FALSE,FALSE,WitoldGlogowski,,pl,818490317007622144,0,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Student administracji na UPH, libera≈Ç, euroentuzjasta. Kocham politykƒô. Schetynowiec od 2009 r.",89291,1736,3156,338,https://t.co/gTeqlMCNJ0,Adrian,2010-02-02T21:07:29Z,FALSE,FALSE,bezczelny,"Wƒôgr√≥w, Polska",pl,110808210,34,FALSE,http://pbs.twimg.com/profile_images/863729602899869696/Wxm5ZtHD_normal.jpg
,9181,121,7552,150,NA,krzysztofWies≈Çaw,2015-12-21T16:14:35Z,FALSE,FALSE,AtSwimTwoBirds1,Lublin,pl,4558573829,6,FALSE,http://pbs.twimg.com/profile_images/751834498120159232/8ke6DbJl_normal.jpg
,43905,2451,7230,2163,NA,zbigniewczerwi≈Ñski,2013-10-24T19:07:57Z,FALSE,FALSE,kancelaria27,"Poland, OH",pl,2151423783,32,FALSE,http://pbs.twimg.com/profile_images/888071698855202819/fx3ii2Mh_normal.jpg
"wszystko co ludzkie ,..to lubie:)",103528,1670,100180,849,https://t.co/AkyW35k0RG,Bianka,2013-08-20T21:21:03Z,FALSE,FALSE,DankaDanuta72,"Pozna≈Ñ, Polska",pl,1686735392,27,FALSE,http://pbs.twimg.com/profile_images/887472755985330176/6ON5RoBP_normal.jpg
,3157,111,4933,127,NA,Andrzej Piekarczyk,2010-11-23T15:15:26Z,FALSE,FALSE,apiekarczyk,,pl,218952106,1,FALSE,http://pbs.twimg.com/profile_images/1173875279/mhm_normal.jpg
"...A mury runƒÖ, runƒÖ, runƒÖ...",4759,25,6953,45,NA,Jƒôdrzej Ì†ºÌ∑µÌ†ºÌ∑±,2015-10-05T20:51:39Z,FALSE,FALSE,budajczak,"Wielkopolskie, Polska ‚úå",pl,3874399576,1,FALSE,http://pbs.twimg.com/profile_images/890887282370240513/TtdezyU7_normal.jpg
,6791,525,8342,839,NA,SpiderManÌ†ºÌ∑µÌ†ºÌ∑±,2017-02-13T13:59:59Z,FALSE,FALSE,SpiderManPolska,Polska,pl,831140866727239681,0,FALSE,http://pbs.twimg.com/profile_images/831142789442306049/lJVY_nlk_normal.jpg
Wolny cz≈Çowiek ale w trybach,578,23,1312,84,NA,Ma≈Çgorzata kubica,2016-01-10T09:33:56Z,FALSE,FALSE,ma_kubica,,pl,4762927581,1,FALSE,http://pbs.twimg.com/profile_images/686153723236728832/hlKz2_D6_normal.jpg
,39049,338,59933,297,NA,Ilonaw,2017-03-09T15:59:24Z,FALSE,FALSE,Ilonaw8,,pl,839868229950574593,1,FALSE,http://pbs.twimg.com/profile_images/864361881179312128/LfEImP8s_normal.jpg
"Europejczyk Apostata Libera≈Ç Centrysta Alergia na g≈Çupotƒô, narodowy socjalizm, na Lewicƒô te≈º. Katastrofa to NIE Zamach. Prawa kobiet i zwierzƒÖt.#Dudak≈Çamie",22699,1644,31283,941,NA,Naj!! Gorszego Sortu,2016-02-04T12:42:35Z,FALSE,FALSE,WorstSortOfPole,Narod.Socjal. Teokracja PiSu ,pl,4876249301,6,FALSE,http://pbs.twimg.com/profile_images/888023577890607108/EXx4ZFZj_normal.jpg
co ja tu robiƒô? nie lubiƒô qurde pieprzonej polityki!! Ì†ΩÌ∏°Ì†ΩÌ∏°@alo_oficial @FFDP @Metallica Ì†ΩÌ∂§Ì†ΩÌ∂§Ì†ΩÌ∂§,8018,3840,44853,1443,NA,kolter-kolter ....,2016-06-05T07:28:50Z,FALSE,FALSE,kolter_hugh,Iserlohn.De /Brzeg.Pl,pl,739358302442795009,15,FALSE,http://pbs.twimg.com/profile_images/881186041071362049/jQLCmjBL_normal.jpg
tutaj z imienia i nazwiska. gdzie indziej Robinson Warszawski. Mam smoka i nie zawacham siƒô go u≈ºyƒá. A co?! Prawo do posiadania broni - jestem za...,5951,214,2122,660,NA,Dariusz Chosinski,2012-12-20T11:20:27Z,FALSE,FALSE,DariuszFirma,,pl,1024053392,2,FALSE,http://pbs.twimg.com/profile_images/419019690934304768/wO0XMewM_normal.jpeg
,4097,49,1573,238,NA,Panajew Panajotow,2015-03-10T08:17:27Z,FALSE,FALSE,PPanajotow,,pl,3083426487,7,FALSE,http://pbs.twimg.com/profile_images/575209838168297472/Wv4D1yCu_normal.png
"Krakus-Nowohucianin. Radny Dzielnicy XVII. Cz≈Çonek ZarzƒÖdu PO RP w Krakowie, PrzewodniczƒÖcy Ko≈Ça M≈Çodych PO w Krakowie.",10209,1242,3197,1924,http://t.co/TRf6amfiqM,≈Åukasz Sƒôk,2009-09-18T09:31:44Z,FALSE,FALSE,sekiluki,"Cracow, Poland",pl,75241340,30,FALSE,http://pbs.twimg.com/profile_images/708287444924416000/rVAIrE--_normal.jpg
"Minister Skarbu Pa≈Ñstwa 2013-15. Pose≈Ç i Wiceszef Komisji Energii i Skarbu. Na #TT bƒôdƒô pisa≈Ç o #gospodarka #energetyka #SP i o Regionie, bo kocham Lubelskie :)",4310,1090,5980,360,https://t.co/PhBEqmzle3,W≈ÇodzimierzKarpi≈Ñski,2016-12-06T09:14:08Z,FALSE,FALSE,wlkarpinski,"Pu≈Çawy, Polska",pl,806064168969392128,7,FALSE,http://pbs.twimg.com/profile_images/806068988312776704/cTgFl7H9_normal.jpg
"Patriota z duszƒÖ Piotrusia Pana, szukajƒÖcy ciƒÖgle swojej Nibylandii. Zakochany w miejscu inspiracji jakim jest Polska.",11196,330,4364,377,NA,Maciej Firlej,2011-05-20T10:23:02Z,FALSE,FALSE,maciejfirlej,Lublin,en,301946123,12,FALSE,http://pbs.twimg.com/profile_images/865454279179485184/hY9AJyo6_normal.jpg
"Prywatnie, politycznie, lewicowo acz zdroworozsƒÖdkowo.",896,56,7603,309,NA,Pawe≈Ç Jaksim,2015-10-25T10:32:25Z,FALSE,FALSE,PJaksim,"Warsaw, Poland",en,4038195249,1,FALSE,http://pbs.twimg.com/profile_images/658253480121999360/x3qC0Y2q_normal.jpg
"Tutto nel ordine, niente a suo postoo 
Conseduto est altra natura                    
BORN IN THE PRL ;)",1004,7,514,139,NA,Gienek,2012-10-10T09:21:24Z,FALSE,FALSE,EChopicki,3 City,pl,871439936,0,FALSE,http://pbs.twimg.com/profile_images/2701284303/f895d05cf9d40951f315a8b30b66e8c9_normal.jpeg
"Dziadek do ko≈Ñca ≈ºycia, tako≈º profesor i gen. w st. spoczynku; by≈Çy szef Biura Bezpiecze≈Ñstwa Narodowego, former Head of the National Security Bureau, Poland",90219,24576,2070,465,http://t.co/aKqHKE8J6q,Stanis≈Çaw Koziej,2013-06-21T17:48:31Z,FALSE,FALSE,SKoziej,,pl,1536985542,178,FALSE,http://pbs.twimg.com/profile_images/378800000095333007/fdf250823d625f83554cddc609ae1d5d_normal.jpeg
Krytyka Polityczna/Political Critique,3858,1216,3571,269,NA,Agata Diduszko,2015-10-31T16:11:10Z,FALSE,FALSE,agatadiduszko,,pl,4083673756,21,FALSE,http://pbs.twimg.com/profile_images/660490644272635906/cl20VU_o_normal.jpg
realistka i optymistka ‚ù§‚ÄºÔ∏è oczywi≈õcie jestem z gorszego sortu i dobrze mi z tym ‚ÄºÔ∏è‚ÄºÔ∏è‚ÄºÔ∏è,54199,2093,184508,530,NA,qsylwiaq EU Ô£ø,2015-12-12T21:21:49Z,FALSE,FALSE,qsylwiaq,,en,4463243013,32,FALSE,http://pbs.twimg.com/profile_images/893182652030697477/eZQ8mPjf_normal.jpg
"Obserwator ≈ºycia,wielbiciel zwierzƒÖt.Polak najgorszego sortu,rebeliant,element animalny,kanalia-zdradziecka morda wg ma≈Çego gnoma! pisiory od razu dostajƒÖ bana!",15945,1384,29870,1307,NA,Robert May,2016-05-19T11:24:48Z,FALSE,FALSE,Erem64,"Wroc≈Çaw,Lower Silesia, Poland",pl,733257092044312576,9,FALSE,http://pbs.twimg.com/profile_images/888390256319397888/UBXZBi-o_normal.jpg
Pastor ewangelicko-reformowany. Liberalny socjalnie i centrowy teologicznie. Protestancki publicysta. Gej. Mieszkam w USA.,871,98,1921,109,NA,Kazimierz Bem,2016-12-21T14:01:18Z,FALSE,FALSE,LiberalnyKalwin,United States,en,811572254660263936,1,FALSE,http://pbs.twimg.com/profile_images/815614289713233920/KtQ4XQ0t_normal.jpg
Kocham Depeche Mode - to jak najlepsza kozetka u najlepszego psychoterapeuty. Reszta  jest dodatkiem. Enjoy the silence... I feel you...Ì†ΩÌ∏òi to sƒÖ moje szpilki,20284,312,22513,729,NA,***Ì†ΩÌ±†Ì†ΩÌ∏ò,2016-12-20T11:08:48Z,FALSE,FALSE,wcdcpot,,pl,811166455962238980,2,FALSE,http://pbs.twimg.com/profile_images/890971937748520960/M1AOjJEB_normal.jpg
,3237,34,10334,89,NA,Ewa Jƒôdrych,2016-03-01T20:23:33Z,FALSE,FALSE,Ewa_Jedrych,,pl,704764029210857472,0,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Cz≈Çowiek.,94125,18396,94876,17472,http://t.co/ILC1U14hv6,Irek O.O.  Ì†ºÌ∑µÌ†ºÌ∑± Ì†ºÌ∑™Ì†ºÌ∑∫,2011-10-20T05:43:30Z,FALSE,FALSE,IrekJanek,New York Tri State,en,394509001,274,FALSE,http://pbs.twimg.com/profile_images/887437381518860288/HI_59PCv_normal.jpg
,189,18,1642,157,NA,MagdaLena,2016-04-26T11:43:12Z,FALSE,FALSE,MagdaLena12049,"Warszawa, Polska",pl,724926799730335745,0,FALSE,http://pbs.twimg.com/profile_images/835933355850018816/RmcEVpoA_normal.jpg
"Pose≈Ç do Parlamentu Europejskiego, Member of the European Parliament",70708,41527,46903,724,https://t.co/dB7dxYk1eO,Micha≈Ç Boni,2011-08-16T13:44:09Z,FALSE,FALSE,MichalBoni,"Warszawa, Polska, ",pl,356190403,855,FALSE,http://pbs.twimg.com/profile_images/845194223305469952/xCAi7BDY_normal.jpg
ChroniƒÖc Demokracjƒô ocalasz Ludzko≈õƒá.  Wszystko co nieludzkie jest mi obce .,4936,111,5363,148,NA,szkutnik666@gmail.co,2017-05-13T17:36:11Z,FALSE,FALSE,szkutnik666,"Pomorskie, Polska",pl,863447795528851456,1,FALSE,http://pbs.twimg.com/profile_images/888044394519158786/6254A0B0_normal.jpg
Eye of the beholder,22105,239,40099,459,NA,Anna Pawardza,2016-12-19T15:51:03Z,FALSE,FALSE,apawa137,Oblƒô≈ºona twierdza Warszawa,en,810875099243016192,2,FALSE,http://pbs.twimg.com/profile_images/810885509056786432/UrzRn45P_normal.jpg
"czyta≈Çem Schopenhauera zanim sta≈Ço siƒô to modne. i Kanta I Hegla. i nawet Marksa. wiem, ze jeszcze du≈ºo nie wiem. a tak w ogole to Amiga Rulez!",8387,121,24444,520,https://t.co/Lifw1MgRxD,Tomek D,2015-03-21T21:14:48Z,FALSE,FALSE,antibyte81,United Kingdom,en,3102873502,10,FALSE,http://pbs.twimg.com/profile_images/879702378399883264/JenglJMT_normal.jpg
"Prze≈ºy≈Çam PRL, nie zgadzam siƒô na PRLbis z bolszewickƒÖ kanaliƒÖ na drabince.",16810,1570,14864,981,NA,Ma≈ÇgorzatKa Ì†ΩÌ≥ö,2015-11-26T17:23:16Z,FALSE,FALSE,Malgoska_K,"Piaseczno, Polska",pl,4287485441,7,FALSE,http://pbs.twimg.com/profile_images/819856643894759424/AZkIcxEj_normal.jpg
,177,11,575,140,NA,Aneleha,2017-04-25T20:16:33Z,FALSE,FALSE,sonoioaneleha,"Berlin, Deutschland",pl,856965170266025984,0,FALSE,http://pbs.twimg.com/profile_images/889218590985080832/YpcMo-1P_normal.jpg
,94,1,259,1,NA,Aga,2016-03-14T12:34:07Z,FALSE,FALSE,Jagnieszka7,,pl,709356936156807168,0,FALSE,http://pbs.twimg.com/profile_images/777295625255788544/kINcAr94_normal.jpg
,1626,110,827,248,NA,Robert Kozie≈Ç,2015-05-23T06:54:56Z,FALSE,FALSE,RobCzarny,,pl,3294961360,4,FALSE,http://pbs.twimg.com/profile_images/887986683723087872/P1o71NJg_normal.jpg
,3546,24,3682,129,NA,Teresa Demeter,2013-11-23T15:25:43Z,FALSE,FALSE,DemeterTerasa,"Wroc≈Çaw, Polska",pl,2192843669,1,FALSE,http://pbs.twimg.com/profile_images/787290446800252928/R5ww_3Ev_normal.jpg
Lewicowiec - socjaldemokrata. Razem.,1378,174,1558,1030,NA,Marcin Zy≈õk,2014-06-20T00:01:17Z,FALSE,FALSE,Marcin_Zysk,"Toru≈Ñ, Polska",pl,2577678132,3,FALSE,http://pbs.twimg.com/profile_images/859051803979264001/D9R6X25B_normal.jpg
"≈ÅƒÖczy nas Polska, ≈ÇƒÖczycie nas Wy, ≈ÇƒÖczy nas Wasze zdanie. #OpozycjaObywatelska
#MakePolandPiSlessAgain",10443,2819,11634,1239,https://t.co/OPVCQj624r,OpozycjaObywatelska,2017-03-28T18:32:11Z,FALSE,FALSE,OObywatelska,Polska,pl,846792045192757249,7,FALSE,http://pbs.twimg.com/profile_images/877060066712535041/y8VuT6I0_normal.jpg
Oficjalne konto dolno≈õlƒÖskiej Platformy Obywatelskiej na Twitter,15357,1548,8710,1088,https://t.co/vPGlOfLurB,PO Dolny ≈ölƒÖsk ‚úå,2013-09-27T18:44:15Z,FALSE,FALSE,PO_Dolny_Slask,"Wroc≈Çaw, Polska",en,1911991033,15,FALSE,http://pbs.twimg.com/profile_images/848397957258989568/SEZq8nYl_normal.jpg
"cz≈Çowiek, dobry cz≈Çowiek chocia≈º m√≥g≈Çby byƒá troszkƒô lepszy, bƒôdƒô siƒô stara≈Ça .To ciƒÖg≈Çy proces......‚ò∫",17764,163,25372,336,NA,Irena Laskowska,2011-12-30T14:13:54Z,FALSE,FALSE,julinka2011,,pl,450660262,1,FALSE,http://pbs.twimg.com/profile_images/876069641986224129/Rvxdp_F1_normal.jpg
"Dziennikarz Gazety Wyborczej-Sto≈Çecznej. Tu opinie na r√≥≈ºne tematy, o kt√≥rych najczƒô≈õciej nie piszƒô w gazecie.",2042,778,5617,585,NA,Wojciech Karpieszuk,2012-11-18T19:52:25Z,FALSE,FALSE,WKarpieszuk,"Warszawa, Polska",pl,956114784,18,FALSE,http://pbs.twimg.com/profile_images/2866658361/899b72ceac9bb0dcd44ed6caeb36f62b_normal.png
"Politolog, historyk. Czo≈Çowe lewackie konto Ì†ΩÌ≤™Ì†ΩÌ±ä Red Devils Ì†ΩÌ∏à",57339,1549,95437,1522,NA,Mati,2011-10-09T14:56:23Z,FALSE,FALSE,tiszantul,,pl,387711896,11,FALSE,http://pbs.twimg.com/profile_images/870589281865261057/z2HgRjiT_normal.jpg
W≈Çasne poglƒÖdy nie przeszkadzajƒÖ mi w ≈ºyczliwej ocenie cudzych.,11036,723,25590,587,NA,Agnieszka Kuszewska,2015-08-05T21:02:06Z,FALSE,FALSE,AgnieszkaKusze2,"Warszawa -Weso≈Ça, Mazowieckie",pl,3404797984,8,FALSE,http://pbs.twimg.com/profile_images/883814403640045568/gaxz8S8T_normal.jpg
w ≈ºyciu najpiƒôkniejsze sƒÖ tylko chwile...,2121,70,20856,210,NA,Jolanta Jak√≥bczyk,2015-11-27T13:48:59Z,FALSE,FALSE,JolaJakobczyk1,,pl,4296818782,0,FALSE,http://pbs.twimg.com/profile_images/829227073923317760/uzNFIb66_normal.jpg
"Liberal, Crossfit addict, Berlin based.Ì†ºÌ∑µÌ†ºÌ∑±",37,17,179,139,NA,Domin,2017-07-24T10:09:21Z,FALSE,FALSE,DominInBerlin,"Berlin, Deutschland",pl,889427274403074048,0,FALSE,http://pbs.twimg.com/profile_images/889428200840978434/IDyCVTLL_normal.jpg
,317,29,2200,178,http://t.co/hk1c9pIpvt,Maciej Bieli≈Ñski,2013-02-16T22:39:03Z,FALSE,FALSE,bielinek,,pl,1187687155,0,FALSE,http://pbs.twimg.com/profile_images/378800000224198576/a137ba720209c0ec8015c4dc5f9ab00a_normal.jpeg
Nie chcƒô by okradano mnie z mojego ≈ºycia,48863,1862,6780,2018,https://t.co/wCajEr6aTx,·è∞·è´·èÅ·èâi·èâ·éØ·èÅ·éøÌ†æÌ∂Ç,2012-04-09T16:27:19Z,FALSE,FALSE,Kazar13,Boy Next Door,pl,549438168,38,FALSE,http://pbs.twimg.com/profile_images/892871182562799617/4qYGWyfA_normal.jpg
"Kann lesen und schreiben , benutze Hirn potrafiƒô czytaƒá i pisaƒá pos≈Çugujƒô siƒô m√≥zgiem bin europ(√§)eischer Patriot jestem europejskim patriotƒÖ",11863,327,9145,571,NA,MaxFuller,2017-02-27T06:01:23Z,FALSE,FALSE,MaxFullerRatyzb,Deutschland ,de,836093855091068929,3,FALSE,http://pbs.twimg.com/profile_images/881769754293293058/UPMOzJsf_normal.jpg
"Gorzowianin z urodzenia, Poznaniak z wyboru! Szczƒô≈õliwy mƒÖ≈º swojej ≈ºony, zwolennik ≈õwieckiego pa≈Ñstwa / kibic Realu Madryt i Stali Gorz√≥w",21062,769,80,268,NA,S≈Çawomir Kaczmarek,2013-05-20T11:10:30Z,FALSE,FALSE,KaczmarekSlawek,Pozna≈Ñ,pl,1443497190,38,FALSE,http://pbs.twimg.com/profile_images/745157008517562370/RLoQjuTX_normal.jpg
W jedno≈õci si≈Ça...‚úåÔ∏è,29222,1827,50904,1425,NA,Anna,2016-04-22T18:01:38Z,FALSE,FALSE,AnnaAniczek,,pl,723572484373647368,6,FALSE,http://pbs.twimg.com/profile_images/876374070564147200/lbYUEmec_normal.jpg
DO≈öƒÜ!!!!!,17302,778,20033,1197,NA,Anna Starr,2013-05-19T19:29:39Z,FALSE,FALSE,Starr3Starr,Poland Lower Silesia Walbrzych,pl,1442006856,6,FALSE,http://pbs.twimg.com/profile_images/894264573334888449/JAuo-t22_normal.jpg
,54391,95,64140,80,NA,Aleksandra lazenska,2015-05-02T15:09:11Z,FALSE,FALSE,Alazenska,,pl,3228536188,36,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
